70.12.50.220 - - [28/Jun/2019:17:15:45 +0900] "GET /day1333/img/ HTTP/1.1" 404 1135
70.12.50.220 - - [28/Jun/2019:17:15:45 +0900] "GET /day1333/req?type=product&cmd=detail&id=100 HTTP/1.1" 200 802
70.12.50.220 - - [28/Jun/2019:17:15:45 +0900] "GET /day1333/img/ HTTP/1.1" 404 1135
70.12.50.220 - - [28/Jun/2019:17:15:45 +0900] "GET /day1333/req?type=product&cmd=detail&id=100 HTTP/1.1" 200 802
70.12.50.220 - - [28/Jun/2019:17:15:45 +0900] "GET /day1333/img/ HTTP/1.1" 404 1135
70.12.50.220 - - [28/Jun/2019:17:15:48 +0900] "GET /day1333/req?type=product&cmd=update&id=100 HTTP/1.1" 200 694
70.12.50.220 - - [28/Jun/2019:17:15:56 +0900] "POST /day1333/req?type=product&cmd=udpateimpl HTTP/1.1" 302 -
70.12.50.220 - - [28/Jun/2019:17:15:57 +0900] "GET /day1333/req?type=product&cmd=detail&id=100 HTTP/1.1" 200 808
70.12.50.220 - - [28/Jun/2019:17:15:57 +0900] "GET /day1333/img/sp.jpg HTTP/1.1" 404 1141
70.12.50.220 - - [28/Jun/2019:17:16:03 +0900] "GET /day1333/req?type=product&cmd=detail&id=100 HTTP/1.1" 200 808
70.12.50.220 - - [28/Jun/2019:17:16:03 +0900] "GET /day1333/img/sp.jpg HTTP/1.1" 200 46905
70.12.50.220 - - [28/Jun/2019:17:16:18 +0900] "GET /day1333/req?type=product&cmd=update&id=100 HTTP/1.1" 200 700
70.12.50.220 - - [28/Jun/2019:17:16:33 +0900] "POST /day1333/req?type=product&cmd=udpateimpl HTTP/1.1" 302 -
70.12.50.220 - - [28/Jun/2019:17:16:33 +0900] "GET /day1333/req?type=product&cmd=detail&id=100 HTTP/1.1" 200 803
70.12.50.220 - - [28/Jun/2019:17:16:33 +0900] "GET /day1333/img/ HTTP/1.1" 404 1135
70.12.50.220 - - [28/Jun/2019:17:18:47 +0900] "GET /day1333/req?type=product&cmd=update&id=100 HTTP/1.1" 200 695
70.12.50.220 - - [28/Jun/2019:17:19:09 +0900] "POST /day1333/req?type=product&cmd=udpateimpl HTTP/1.1" 302 -
70.12.50.220 - - [28/Jun/2019:17:19:09 +0900] "GET /day1333/req?type=product&cmd=detail&id=100 HTTP/1.1" 200 809
70.12.50.220 - - [28/Jun/2019:17:19:09 +0900] "GET /day1333/img/sp.jpg HTTP/1.1" 304 -
70.12.50.220 - - [28/Jun/2019:17:19:13 +0900] "GET /day1333/req?type=product&cmd=update&id=100 HTTP/1.1" 200 701
70.12.50.220 - - [28/Jun/2019:17:19:19 +0900] "POST /day1333/req?type=product&cmd=udpateimpl HTTP/1.1" 302 -
70.12.50.220 - - [28/Jun/2019:17:19:19 +0900] "GET /day1333/req?type=product&cmd=detail&id=100 HTTP/1.1" 200 808
70.12.50.220 - - [28/Jun/2019:17:19:23 +0900] "GET /day1333/req?type=product&cmd=update&id=100 HTTP/1.1" 200 700
